recording,event_or_utterance_id,expected_text,candidate,mode,legacy_outcome,candidate_outcome,delta_class,latency_delta_ms,notes
1786194763609,1786194763609_cmd_019,вверх,webrtc_moderate,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_020,печать,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_020,печать,hpf80_mix123,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_020,печать,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_020,печать,raw_ch3,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_020,печать,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_020,печать,raw_mix123,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_020,печать,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_020,печать,webrtc_moderate,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_021,белый,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_021,белый,hpf80_mix123,production_like,true,true,unchanged,-80.00000000000546,
1786194763609,1786194763609_cmd_021,белый,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_021,белый,raw_ch3,production_like,true,true,unchanged,-80.00000000000546,
1786194763609,1786194763609_cmd_021,белый,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_021,белый,raw_mix123,production_like,true,true,unchanged,-80.00000000000546,
1786194763609,1786194763609_cmd_021,белый,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_021,белый,webrtc_moderate,production_like,true,true,unchanged,-80.00000000000546,
1786194763609,1786194763609_cmd_022,назад,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_022,назад,hpf80_mix123,production_like,true,true,unchanged,-79.99999999999818,
1786194763609,1786194763609_cmd_022,назад,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_022,назад,raw_ch3,production_like,true,true,unchanged,-79.99999999999818,
1786194763609,1786194763609_cmd_022,назад,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_022,назад,raw_mix123,production_like,true,true,unchanged,-79.99999999999818,
1786194763609,1786194763609_cmd_022,назад,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_022,назад,webrtc_moderate,production_like,true,true,unchanged,-79.99999999999818,
1786194763609,1786194763609_cmd_023,печать,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_023,печать,hpf80_mix123,production_like,true,true,unchanged,79.99999999999841,
1786194763609,1786194763609_cmd_023,печать,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_023,печать,raw_ch3,production_like,true,true,unchanged,79.99999999999841,
1786194763609,1786194763609_cmd_023,печать,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_023,печать,raw_mix123,production_like,true,true,unchanged,79.99999999999841,
1786194763609,1786194763609_cmd_023,печать,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_023,печать,webrtc_moderate,production_like,true,true,unchanged,99.99999999999432,
1786194763609,1786194763609_cmd_024,печать,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_024,печать,hpf80_mix123,production_like,true,true,unchanged,79.9999999999983,
1786194763609,1786194763609_cmd_024,печать,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_024,печать,raw_ch3,production_like,true,true,unchanged,79.9999999999983,
1786194763609,1786194763609_cmd_024,печать,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_024,печать,raw_mix123,production_like,true,true,unchanged,79.9999999999983,
1786194763609,1786194763609_cmd_024,печать,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_024,печать,webrtc_moderate,production_like,true,true,slower_stable_partial,119.99999999999034,
1786194763609,1786194763609_cmd_025,жёлтый,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_025,жёлтый,hpf80_mix123,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_025,жёлтый,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_025,жёлтый,raw_ch3,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_025,жёлтый,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_025,жёлтый,raw_mix123,production_like,true,true,unchanged,-79.9999999999983,
1786194763609,1786194763609_cmd_025,жёлтый,webrtc_moderate,clean_continuous,true,true,faster_stable_partial,-240.0000000000091,
1786194763609,1786194763609_cmd_025,жёлтый,webrtc_moderate,production_like,true,true,unchanged,-39.99999999999204,
1786194763609,1786194763609_cmd_026,жёлтый,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_026,жёлтый,hpf80_mix123,production_like,true,true,unchanged,60.000000000002274,
1786194763609,1786194763609_cmd_026,жёлтый,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_026,жёлтый,raw_ch3,production_like,true,true,unchanged,60.000000000002274,
1786194763609,1786194763609_cmd_026,жёлтый,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_026,жёлтый,raw_mix123,production_like,true,true,unchanged,60.000000000002274,
1786194763609,1786194763609_cmd_026,жёлтый,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_026,жёлтый,webrtc_moderate,production_like,true,true,unchanged,99.99999999999432,
1786194763609,1786194763609_cmd_027,жёлтый,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_027,жёлтый,hpf80_mix123,production_like,true,true,faster_stable_partial,-179.9999999999926,
