utterance_id,recording,expected_text,frontend,mode,detected,wrong_actionable_partial,first_partial_latency_ms,stable_partial_latency_ms,endpoint_latency_ms,duplicate_activation
1786194763609_cmd_010,1786194763609,вниз,raw_ch3,clean_continuous,true,0,300.0000000000007,449.9999999999993,1000.0,0
1786194763609_cmd_010,1786194763609,вниз,raw_ch3,production_like,true,0,220.00000000000242,,-39.99999999999915,0
1786194763609_cmd_010,1786194763609,вниз,raw_mix123,clean_continuous,true,0,300.0000000000007,449.9999999999993,1000.0,0
1786194763609_cmd_010,1786194763609,вниз,raw_mix123,production_like,true,0,220.00000000000242,,-39.99999999999915,0
1786194763609_cmd_010,1786194763609,вниз,webrtc_moderate,clean_continuous,true,0,300.0000000000007,449.9999999999993,1000.0,0
1786194763609_cmd_010,1786194763609,вниз,webrtc_moderate,production_like,true,0,220.00000000000242,,-39.99999999999915,0
1786194763609_cmd_011,1786194763609,вверх,hpf80_mix123,clean_continuous,true,0,219.99999999999886,369.99999999999744,879.9999999999955,0
1786194763609_cmd_011,1786194763609,вверх,hpf80_mix123,production_like,true,0,219.99999999999886,369.99999999999744,879.9999999999955,0
1786194763609_cmd_011,1786194763609,вверх,legacy_reference,clean_continuous,true,0,219.99999999999886,369.99999999999744,879.9999999999955,0
1786194763609_cmd_011,1786194763609,вверх,legacy_reference,production_like,true,0,539.9999999999991,689.9999999999977,960.0000000000009,0
1786194763609_cmd_011,1786194763609,вверх,raw_ch3,clean_continuous,true,0,219.99999999999886,369.99999999999744,879.9999999999955,0
1786194763609_cmd_011,1786194763609,вверх,raw_ch3,production_like,true,0,219.99999999999886,369.99999999999744,879.9999999999955,0
1786194763609_cmd_011,1786194763609,вверх,raw_mix123,clean_continuous,true,0,219.99999999999886,369.99999999999744,879.9999999999955,0
1786194763609_cmd_011,1786194763609,вверх,raw_mix123,production_like,true,0,219.99999999999886,369.99999999999744,879.9999999999955,0
1786194763609_cmd_011,1786194763609,вверх,webrtc_moderate,clean_continuous,true,0,219.99999999999886,369.99999999999744,879.9999999999955,0
1786194763609_cmd_011,1786194763609,вверх,webrtc_moderate,production_like,true,0,460.00000000000085,609.9999999999994,879.9999999999955,0
1786194763609_cmd_012,1786194763609,вверх,hpf80_mix123,clean_continuous,true,0,399.9999999999986,549.9999999999972,820.0000000000002,0
1786194763609_cmd_012,1786194763609,вверх,hpf80_mix123,production_like,true,0,399.9999999999986,549.9999999999972,,0
1786194763609_cmd_012,1786194763609,вверх,legacy_reference,clean_continuous,true,0,640.0000000000006,789.9999999999991,,0
1786194763609_cmd_012,1786194763609,вверх,legacy_reference,production_like,true,0,479.9999999999969,629.9999999999955,899.9999999999986,0
1786194763609_cmd_012,1786194763609,вверх,raw_ch3,clean_continuous,true,0,399.9999999999986,549.9999999999972,820.0000000000002,0
1786194763609_cmd_012,1786194763609,вверх,raw_ch3,production_like,true,0,399.9999999999986,549.9999999999972,820.0000000000002,0
1786194763609_cmd_012,1786194763609,вверх,raw_mix123,clean_continuous,true,0,399.9999999999986,549.9999999999972,,0
1786194763609_cmd_012,1786194763609,вверх,raw_mix123,production_like,true,0,399.9999999999986,549.9999999999972,820.0000000000002,0
1786194763609_cmd_012,1786194763609,вверх,webrtc_moderate,clean_continuous,true,0,399.9999999999986,549.9999999999972,,0
1786194763609_cmd_012,1786194763609,вверх,webrtc_moderate,production_like,true,0,399.9999999999986,549.9999999999972,,0
1786194763609_cmd_013,1786194763609,вверх,hpf80_mix123,clean_continuous,true,0,140.00000000000057,289.99999999999915,939.9999999999977,0
1786194763609_cmd_013,1786194763609,вверх,hpf80_mix123,production_like,false,0,,,,0
1786194763609_cmd_013,1786194763609,вверх,legacy_reference,clean_continuous,false,0,,,,0
1786194763609_cmd_013,1786194763609,вверх,legacy_reference,production_like,true,0,460.00000000000085,609.9999999999994,,0
1786194763609_cmd_013,1786194763609,вверх,raw_ch3,clean_continuous,true,0,140.00000000000057,289.99999999999915,939.9999999999977,0
1786194763609_cmd_013,1786194763609,вверх,raw_ch3,production_like,true,0,140.00000000000057,289.99999999999915,939.9999999999977,0
1786194763609_cmd_013,1786194763609,вверх,raw_mix123,clean_continuous,false,0,,,,0
1786194763609_cmd_013,1786194763609,вверх,raw_mix123,production_like,true,0,140.00000000000057,289.99999999999915,939.9999999999977,0
1786194763609_cmd_013,1786194763609,вверх,webrtc_moderate,clean_continuous,false,0,,,,0
1786194763609_cmd_013,1786194763609,вверх,webrtc_moderate,production_like,false,0,,,,0
1786194763609_cmd_014,1786194763609,вниз,hpf80_mix123,clean_continuous,true,0,340.0000000000034,490.000000000002,960.0000000000009,0
1786194763609_cmd_014,1786194763609,вниз,hpf80_mix123,production_like,true,0,340.0000000000034,490.000000000002,960.0000000000009,0
1786194763609_cmd_014,1786194763609,вниз,legacy_reference,clean_continuous,true,0,340.0000000000034,490.000000000002,960.0000000000009,0
1786194763609_cmd_014,1786194763609,вниз,legacy_reference,production_like,true,0,420.0000000000017,570.0000000000002,,0
1786194763609_cmd_014,1786194763609,вниз,raw_ch3,clean_continuous,true,0,340.0000000000034,490.000000000002,960.0000000000009,0
1786194763609_cmd_014,1786194763609,вниз,raw_ch3,production_like,true,0,340.0000000000034,490.000000000002,960.0000000000009,0
1786194763609_cmd_014,1786194763609,вниз,raw_mix123,clean_continuous,true,0,340.0000000000034,490.000000000002,960.0000000000009,0
1786194763609_cmd_014,1786194763609,вниз,raw_mix123,production_like,true,0,340.0000000000034,490.000000000002,960.0000000000009,0
1786194763609_cmd_014,1786194763609,вниз,webrtc_moderate,clean_continuous,true,0,340.0000000000034,490.000000000002,960.0000000000009,0
1786194763609_cmd_014,1786194763609,вниз,webrtc_moderate,production_like,true,0,340.0000000000034,490.000000000002,960.0000000000009,0
1786194763609_cmd_015,1786194763609,вниз,hpf80_mix123,clean_continuous,true,0,380.00000000000256,530.0000000000011,899.9999999999986,0
1786194763609_cmd_015,1786194763609,вниз,hpf80_mix123,production_like,true,0,299.99999999999716,,99.99999999999432,0
