file,start_s,channel,best_lag_samples,correlation
raw_4ch_1786194978795.wav,50.0,2,-1,0.9366359700401151
raw_4ch_1786194978795.wav,50.0,3,1,0.8298784493690375
raw_4ch_1786194978795.wav,60.0,1,-2,0.8444742485331098
raw_4ch_1786194978795.wav,60.0,2,-1,0.9435000100593258
raw_4ch_1786194978795.wav,60.0,3,0,0.8809003288430943
raw_4ch_1786194978795.wav,70.0,1,-3,0.8443210103321002
raw_4ch_1786194978795.wav,70.0,2,-1,0.9232856046112039
raw_4ch_1786194978795.wav,70.0,3,0,0.8710435895336707
raw_4ch_1786194978795.wav,80.0,1,-3,0.8166550906374691
raw_4ch_1786194978795.wav,80.0,2,-1,0.9510547159236928
raw_4ch_1786194978795.wav,80.0,3,-1,0.8430530733070984
raw_4ch_1786194978795.wav,90.0,1,-2,0.8765532917974745
raw_4ch_1786194978795.wav,90.0,2,0,0.9625634636591021
raw_4ch_1786194978795.wav,90.0,3,0,0.8875369977003917
raw_4ch_1786194978795.wav,100.0,1,-3,0.8280563534667291
raw_4ch_1786194978795.wav,100.0,2,-1,0.9030870691400028
raw_4ch_1786194978795.wav,100.0,3,-1,0.8477212364312704
raw_4ch_1786194978795.wav,110.0,1,-5,0.5730953690592587
raw_4ch_1786194978795.wav,110.0,2,1,0.798262369299376
raw_4ch_1786194978795.wav,110.0,3,-3,0.604212816306843
raw_4ch_1786194978795.wav,120.0,1,-5,0.572351617255811
raw_4ch_1786194978795.wav,120.0,2,0,0.7846677553756051
raw_4ch_1786194978795.wav,120.0,3,-1,0.6005276277302193
raw_4ch_1786194978795.wav,130.0,1,-1,0.8366515283158258
raw_4ch_1786194978795.wav,130.0,2,0,0.9190431950171635
raw_4ch_1786194978795.wav,130.0,3,-1,0.8608203161919336
raw_4ch_1786194978795.wav,140.0,1,-3,0.8086758232397979
raw_4ch_1786194978795.wav,140.0,2,-1,0.9564632904541575
raw_4ch_1786194978795.wav,140.0,3,-1,0.8347940925488386
raw_4ch_1786194978795.wav,150.0,1,-2,0.8092138260264281
raw_4ch_1786194978795.wav,150.0,2,-1,0.950190739509415
raw_4ch_1786194978795.wav,150.0,3,1,0.8259748856293526
raw_4ch_1786194978795.wav,160.0,1,-1,0.8664964037903441
raw_4ch_1786194978795.wav,160.0,2,-1,0.9660815429435028
raw_4ch_1786194978795.wav,160.0,3,1,0.9028217451420019
raw_4ch_1786194978795.wav,170.0,1,-1,0.5330179990999796
raw_4ch_1786194978795.wav,170.0,2,1,0.6526618173595845
raw_4ch_1786194978795.wav,170.0,3,5,0.552138765648695
